,city,city_ibge_code,date,estimated_population,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths
2588,Governador Celso Ramos,4206009.0,2020-04-27,14606.0,3,20.5395,0.0,0,0,0
2624,Palhoça,4211900.0,2020-04-27,175272.0,25,14.263539999999999,0.04,1,1,0
2646,Santo Amaro da Imperatriz,4215703.0,2020-04-27,23579.0,3,12.723189999999999,0.0,0,0,0
2654,São José,4216602.0,2020-04-27,250181.0,49,19.585820000000002,0.0204,1,0,0
2657,São Pedro de Alcântara,4217253.0,2020-04-27,5935.0,1,16.8492,0.0,0,0,0
2672,Águas Mornas,4200606.0,2020-04-27,6559.0,1,15.246229999999999,0.0,0,0,0
2675,Antônio Carlos,4201208.0,2020-04-28,8613.0,16,185.7657,0.1875,3,5,0
2687,Biguaçu,4202305.0,2020-04-28,69486.0,8,11.513110000000001,0.0,0,4,0
2702,Florianópolis,4205407.0,2020-04-28,508826.0,334,65.6413,0.015,5,71,0
2707,Governador Celso Ramos,4206009.0,2020-04-28,14606.0,5,34.23251,0.0,0,2,0
2744,Palhoça,4211900.0,2020-04-28,175272.0,28,15.97517,0.0357,1,3,0
2768,Santo Amaro da Imperatriz,4215703.0,2020-04-28,23579.0,4,16.96425,0.0,0,1,0
2776,São José,4216602.0,2020-04-28,250181.0,51,20.38524,0.0196,1,2,0
2798,Águas Mornas,4200606.0,2020-04-28,6559.0,1,15.246229999999999,0.0,0,0,0
2802,Antônio Carlos,4201208.0,2020-04-29,8613.0,15,174.15535,0.2,3,-1,0
2814,Biguaçu,4202305.0,2020-04-29,69486.0,8,11.513110000000001,0.0,0,0,0
2829,Florianópolis,4205407.0,2020-04-29,508826.0,336,66.03435999999999,0.0149,5,2,0
2834,Governador Celso Ramos,4206009.0,2020-04-29,14606.0,5,34.23251,0.0,0,0,0
2871,Palhoça,4211900.0,2020-04-29,175272.0,28,15.97517,0.0357,1,0,0
2895,Santo Amaro da Imperatriz,4215703.0,2020-04-29,23579.0,3,12.723189999999999,0.0,0,-1,0
2904,São José,4216602.0,2020-04-29,250181.0,51,20.38524,0.0196,1,0,0
2927,Águas Mornas,4200606.0,2020-04-29,6559.0,1,15.246229999999999,0.0,0,0,0
2931,Antônio Carlos,4201208.0,2020-04-30,8613.0,16,185.7657,0.1875,3,1,0
