,Unnamed: 0,Cidade,data,confirmados_por_100k,taxa_de_morte
307,3226,Florianópolis,2020-05-02,64.06905,0.0153
308,3232,Governador Celso Ramos,2020-05-02,41.07901,0.0
309,3273,Palhoça,2020-05-02,17.11625,0.0333
310,3299,Santo Amaro da Imperatriz,2020-05-02,12.72319,0.0
311,3308,São José,2020-05-02,21.18466,0.0189
312,3332,Águas Mornas,2020-05-02,30.49245,0.0
313,3337,Antônio Carlos,2020-05-03,150.93463,0.3077
314,3350,Biguaçu,2020-05-03,11.51311,0.0
315,3366,Florianópolis,2020-05-03,68.1962,0.0144
316,3372,Governador Celso Ramos,2020-05-03,150.62303,0.0
317,3414,Palhoça,2020-05-03,17.11625,0.0333
318,3441,Santo Amaro da Imperatriz,2020-05-03,12.72319,0.0
319,3450,São José,2020-05-03,20.78495,0.0192
320,3475,Águas Mornas,2020-05-03,30.49245,0.0
321,3480,Antônio Carlos,2020-05-04,162.54498999999996,0.2857
322,3494,Biguaçu,2020-05-04,11.51311,0.0
323,3510,Florianópolis,2020-05-04,69.37539,0.017
324,3516,Governador Celso Ramos,2020-05-04,150.62303,0.0
325,3559,Palhoça,2020-05-04,18.82788,0.0303
326,3589,Santo Amaro da Imperatriz,2020-05-04,12.72319,0.0
327,3598,São José,2020-05-04,21.18466,0.0189
328,3624,Águas Mornas,2020-05-04,30.49245,0.0
329,3629,Antônio Carlos,2020-05-05,197.37606,0.2353
330,3644,Biguaçu,2020-05-05,11.51311,0.0
331,3664,Florianópolis,2020-05-05,72.51988,0.0163
332,3670,Governador Celso Ramos,2020-05-05,143.77653,0.0
333,3715,Palhoça,2020-05-05,18.25734,0.0312
334,3746,Santo Amaro da Imperatriz,2020-05-05,21.20531,0.0
335,3755,São José,2020-05-05,21.98408,0.0182
336,3782,Águas Mornas,2020-05-05,15.24623,0.0
337,3787,Antônio Carlos,2020-05-06,208.98642,0.2222
338,3802,Biguaçu,2020-05-06,12.95225,0.0
339,3823,Florianópolis,2020-05-06,73.69906,0.016
340,3829,Governador Celso Ramos,2020-05-06,143.77653,0.0
341,3874,Palhoça,2020-05-06,18.25734,0.0312
342,3905,Santo Amaro da Imperatriz,2020-05-06,21.20531,0.0
343,3914,São José,2020-05-06,23.18322,0.0172
344,3943,Águas Mornas,2020-05-06,15.24623,0.0
345,3948,Antônio Carlos,2020-05-07,208.98642,0.2222
346,3963,Biguaçu,2020-05-07,11.51311,0.0
347,3984,Florianópolis,2020-05-07,72.91294,0.0162
348,3990,Governador Celso Ramos,2020-05-07,143.77653,0.0
349,4035,Palhoça,2020-05-07,18.25734,0.0312
350,4066,Santo Amaro da Imperatriz,2020-05-07,21.20531,0.0
351,4076,São José,2020-05-07,23.98264,0.0167
352,4105,Águas Mornas,2020-05-07,15.24623,0.0
353,4110,Antônio Carlos,2020-05-08,208.98642,0.2222
354,4125,Biguaçu,2020-05-08,11.51311,0.0
355,4147,Florianópolis,2020-05-08,73.306,0.0161
356,4153,Governador Celso Ramos,2020-05-08,143.77653,0.0
357,4198,Palhoça,2020-05-08,18.25734,0.0312
358,4229,Santo Amaro da Imperatriz,2020-05-08,21.20531,0.0
359,4240,São José,2020-05-08,26.3809,0.0152
360,4269,Águas Mornas,2020-05-08,15.24623,0.0
361,4274,Antônio Carlos,2020-05-09,208.98642,0.2222
362,4289,Biguaçu,2020-05-09,11.51311,0.0
363,4311,Florianópolis,2020-05-09,76.05743000000002,0.0155
364,4317,Governador Celso Ramos,2020-05-09,143.77653,0.0
365,4362,Palhoça,2020-05-09,19.39842,0.0294
366,4393,Santo Amaro da Imperatriz,2020-05-09,21.20531,0.0
367,4404,São José,2020-05-09,25.98119,0.0154
368,4433,Águas Mornas,2020-05-09,15.24623,0.0
369,4438,Antônio Carlos,2020-05-10,208.98642,0.2222
370,4453,Biguaçu,2020-05-10,11.51311,0.0
371,4475,Florianópolis,2020-05-10,75.8609,0.0155
372,4481,Governador Celso Ramos,2020-05-10,143.77653,0.0
373,4527,Palhoça,2020-05-10,21.11005,0.027000000000000003
374,4560,Santo Amaro da Imperatriz,2020-05-10,21.20531,0.0
375,4571,São José,2020-05-10,26.3809,0.0152
376,4600,Águas Mornas,2020-05-10,15.24623,0.0
377,4606,Antônio Carlos,2020-05-11,208.98642,0.2222
378,4621,Biguaçu,2020-05-11,11.51311,0.0
