,city,city_ibge_code,date,new_confirmed,new_deaths,latitude,longitude
2440,Águas Mornas,4200606.0,2020-04-25,0,0,-27.6963,-48.8243
2443,Antônio Carlos,4201208.0,2020-04-26,0,0,-27.5191,-48.766000000000005
2454,Biguaçu,4202305.0,2020-04-26,1,0,-27.496,-48.6598
2468,Florianópolis,4205407.0,2020-04-26,6,0,-27.5945,-48.5477
2472,Governador Celso Ramos,4206009.0,2020-04-26,0,0,-27.3172,-48.5576
2507,Palhoça,4211900.0,2020-04-26,1,0,-27.6455,-48.6697
2529,Santo Amaro da Imperatriz,4215703.0,2020-04-26,0,0,-27.6852,-48.7813
2537,São José,4216602.0,2020-04-26,1,0,-27.6136,-48.6366
2540,São Pedro de Alcântara,4217253.0,2020-04-26,0,0,-27.5665,-48.8048
2555,Águas Mornas,4200606.0,2020-04-26,0,0,-27.6963,-48.8243
2558,Antônio Carlos,4201208.0,2020-04-27,0,0,-27.5191,-48.766000000000005
2569,Biguaçu,4202305.0,2020-04-27,0,0,-27.496,-48.6598
2584,Florianópolis,4205407.0,2020-04-27,5,1,-27.5945,-48.5477
2588,Governador Celso Ramos,4206009.0,2020-04-27,0,0,-27.3172,-48.5576
2624,Palhoça,4211900.0,2020-04-27,1,0,-27.6455,-48.6697
2646,Santo Amaro da Imperatriz,4215703.0,2020-04-27,0,0,-27.6852,-48.7813
2654,São José,4216602.0,2020-04-27,0,0,-27.6136,-48.6366
2657,São Pedro de Alcântara,4217253.0,2020-04-27,0,0,-27.5665,-48.8048
2672,Águas Mornas,4200606.0,2020-04-27,0,0,-27.6963,-48.8243
2675,Antônio Carlos,4201208.0,2020-04-28,5,0,-27.5191,-48.766000000000005
2687,Biguaçu,4202305.0,2020-04-28,4,0,-27.496,-48.6598
2702,Florianópolis,4205407.0,2020-04-28,71,0,-27.5945,-48.5477
2707,Governador Celso Ramos,4206009.0,2020-04-28,2,0,-27.3172,-48.5576
2744,Palhoça,4211900.0,2020-04-28,3,0,-27.6455,-48.6697
2768,Santo Amaro da Imperatriz,4215703.0,2020-04-28,1,0,-27.6852,-48.7813
2776,São José,4216602.0,2020-04-28,2,0,-27.6136,-48.6366
2798,Águas Mornas,4200606.0,2020-04-28,0,0,-27.6963,-48.8243
